Group,GeneID,log2FC,padj,avg_group1,avg_group2,direction,specificity,CV,biomarker_score
Kidney,mmu-miR-615-5p,6.198,1.1949485119278e-05,33,0,UP in Kidney,5.893536121673004,0.2903225806451613,179.8152625098179
Kidney,mmu-miR-196a-2-3p,8.219,0.00172765621920589,57,0,UP in Kidney,7.049608355091384,0.17757009345794392,160.06374203678567
Kidney,mmu-miR-196b-3p,8.303,0.000925683977427649,346,1,UP in Kidney,5.137527663610497,0.09230769230769231,129.40127157408241
Kidney,mmu-miR-196a-1-3p,7.54,0.009281985377449,330,2,UP in Kidney,7.585025691216051,0.17609046849757673,116.23284089306226
Kidney,mmu-miR-187-5p,2.642,9.85188353658517e-06,610,98,UP in Kidney,3.7903386124179974,0.023580786026200874,50.13527159169801
Kidney,mmu-miR-670-5p,4.052,0.00309320395415683,30,2,UP in Kidney,4.770017035775128,0.12280701754385964,48.50565703461603
Kidney,mmu-miR-346-5p,4.128,0.0281162827996955,114,7,UP in Kidney,5.549792531120332,0.3644859813084112,35.5336665001491
Kidney,mmu-miR-187-3p,2.409,0.000270927283209688,11902,2241,UP in Kidney,3.5282057752054126,0.11965315335448978,30.318781601848205
Kidney,mmu-miR-874-3p,3.372,0.0172190014620979,7238,699,UP in Kidney,4.955345119989519,0.1645123384253819,29.475290429863797
Kidney,mmu-miR-670-3p,3.336,0.0116069725287165,52,5,UP in Kidney,4.454545454545454,0.08163265306122448,28.758980044114548
Kidney,mmu-miR-10a-3p,3.109,0.0190973282145702,4871,564,UP in Kidney,4.570718956866594,0.06933946763062768,24.42800703392679
Kidney,mmu-miR-10a-5p,2.656,0.0148970408467742,187936,29824,UP in Kidney,3.9406151304514365,0.06669581213662791,19.12083549075192
Kidney,mmu-miR-3062-5p,2.681,0.0491498747643278,22,3,UP in Kidney,2.330743618201998,0.09523809523809523,8.176314814751924
Kidney,mmu-miR-511-3p,-2.638,0.0392218415233606,370,2303,DOWN in Kidney,0.20509850047580488,0.02881844380403458,0.7609714670577922
Kidney,mmu-miR-294-3p,-4.735,0.0371205599537631,2,48,DOWN in Kidney,0.056227157717177394,0.5,0.38081952507287653
Kidney,mmu-miR-150-3p,-5.597,0.0329284257806923,14,676,DOWN in Kidney,0.02620967741935484,0.07692307692307693,0.21746576359295872
