Group,Direction,miRNA,GeneID,log2FC,padj,biomarker_score,count_Cells (4T1),zscore_Cells (4T1),count_Heart,zscore_Heart,count_Kidney,zscore_Kidney,count_Liver,zscore_Liver,count_Lung,zscore_Lung,count_Spleen,zscore_Spleen
Heart,Upregulated,miR-149-5p,mmu-miR-149-5p,4.918,1.20197844334041e-09,259.00477482565003,6991,0.420663621268494,55406,1.8099259933895215,2800,-0.1933077749122234,882,-0.9681003571693253,1742,-0.5116855294453851,1627,-0.5574959531310849
Heart,Upregulated,miR-1b-5p,mmu-miR-1b-5p,5.003,2.21062300807882e-08,254.06683961568712,6,-0.5710726600508035,347,1.9656200334003757,8,-0.40787251525732177,14,-0.07614935740644277,13,-0.12095238241940832,4,-0.7895731182664001
Heart,Upregulated,miR-1a-3p,mmu-miR-1a-3p,7.681,9.23271082069054e-05,241.89274299468062,16,-1.4513835920275857,3680110,1.5285400243370775,1236,-0.4114673302095982,22889,0.2963291736830882,35942,0.40578112446004727,1480,-0.3677994002430293
Heart,Upregulated,miR-504-5p,mmu-miR-504-5p,5.386,2.24769224791351e-06,212.39839105788383,0,-1.0354705474346904,223,1.832883850684181,4,-0.1824143293460825,1,-0.668079231585183,4,-0.1824143293460825,10,0.23549458702785753
Heart,Upregulated,miR-466q,mmu-miR-466q,3.56,0.000136458985391128,74.75721508751033,21,-0.793248422546823,846,1.7376586827062717,14,-1.0587670628642338,41,-0.34495850385574595,103,0.2836479502489408,88,0.17566735631159092
Heart,Upregulated,miR-743b-3p,mmu-miR-743b-3p,5.469,0.00276737520767945,74.21395149676516,0,-0.6260014421038977,20,1.9548438372993153,0,-0.6260014421038977,1,-0.038419755493811145,1,-0.038419755493811145,0,-0.6260014421038977
Heart,Upregulated,miR-181a-2-3p,mmu-miR-181a-2-3p,2.609,2.21062300807882e-08,63.56221425871235,524,0.7196779440512981,1156,1.63560648860499,190,-0.452345328341782,110,-1.0814542879219875,238,-0.1924802417998138,163,-0.6290045745927041
Heart,Upregulated,miR-208b-5p,mmu-miR-208b-5p,5.597,0.0102949632451697,58.715572391189184,0,-0.5144179002792076,18,1.9839511565411299,0,-0.5144179002792076,0,-0.5144179002792076,1,0.0737204445757009,0,-0.5144179002792076
Heart,Upregulated,miR-741-3p,mmu-miR-741-3p,4.729,0.0115762533280171,54.779980998968995,0,-0.8692137871874103,60,1.8030590575502765,1,-0.4186335822923809,4,0.1770010495584627,4,0.1770010495584627,0,-0.8692137871874103
Heart,Upregulated,miR-486a-3p,mmu-miR-486a-3p,3.056,0.00088974723292973,46.4481345522352,4,-1.7372390244709022,1960,1.3109695503404852,118,-0.1193167551674303,209,0.17060285977909365,126,-0.08610594169153404,370,0.46108931121028796
Heart,Downregulated,miR-1839-5p,mmu-miR-1839-5p,-1.717,6.59149962655033e-05,3.1919245095314808,1340,-1.577974176607879,2194,-0.8742151021622233,5204,0.3589291082212446,7061,0.7946790382714238,5291,0.38260339363108964,7687,0.9159777386463389
Heart,Downregulated,miR-362-5p,mmu-miR-362-5p,-1.637,0.00690815530367677,1.4160789576335233,1887,0.15072934847312172,784,-1.7973003362847348,2120,0.4090407995685692,1841,0.09597670367129642,1680,-0.10704848676339829,3095,1.2486019713351457
Heart,Downregulated,miR-33-5p,mmu-miR-33-5p,-1.986,0.00945088057990493,1.3633984124565857,2701,-0.11800271350552907,1142,-1.7073671195125275,2778,-0.06609343982004873,5142,1.0710508151232954,2684,-0.12966245288960218,4816,0.9500749106043984
Heart,Downregulated,miR-103-3p,mmu-miR-103-3p,-1.147,0.0101712213015564,1.269186211323932,81624,-0.14910848166673452,50094,-1.6765720666437256,109335,0.7653719833219687,112462,0.8535961090857235,108729,0.7479829245874661,72008,-0.5412704686846673
Heart,Downregulated,miR-551b-3p,mmu-miR-551b-3p,-4.857,6.01006811650885e-05,1.2072016073929766,1,-1.750997705798975,62,-0.5036434232729549,4213,1.0159768587763667,1335,0.600648959664184,1079,0.5237396970993811,347,0.11427561353199762
Heart,Downregulated,miR-33-3p,mmu-miR-33-3p,-1.719,0.0303276899230351,1.1077574027437114,260,-0.8464635073542014,210,-1.2341496780444845,379,-0.1616469899033967,986,1.5784170696776716,469,0.22585536295156608,527,0.43798774267285073
Heart,Downregulated,miR-326-3p,mmu-miR-326-3p,-2.187,0.0282837668047002,1.0619812023845754,234,-1.6554235172976404,862,-0.5591715106406809,2297,0.26618438869096556,1729,0.026917441415437823,6047,1.0816876340806576,4538,0.8398055637512656
Heart,Downregulated,miR-744-5p,mmu-miR-744-5p,-1.682,0.0192424523521389,1.0217585163318244,3952,0.7000451521881907,1127,-1.4812845458570738,1908,-0.5660977919115086,4794,1.0359325531091836,4226,0.816619668081558,1976,-0.5052150356103672
Heart,Downregulated,miR-10a-5p,mmu-miR-10a-5p,-2.965,0.0236416308244827,1.0130540001558426,3,-1.9714681700886043,9390,0.041101739325997796,176128,0.8012636198904236,32071,0.3595960311193943,62703,0.5334491617604464,19916,0.23605761799234173
Heart,Downregulated,miR-652-3p,mmu-miR-652-3p,-1.381,0.0351169894677832,0.9813854434924342,11534,-0.5964895243417337,8524,-1.2349043490722098,16016,0.09656922756065883,12218,-0.4748666669459002,32269,1.5754939751977284,20661,0.6341973376014772
Kidney,Upregulated,miR-10b-3p,mmu-miR-10b-3p,6.134,1.06169399488365e-15,632.3928932889235,143,0.09383899481484413,118,-0.01600002744615659,3233,1.8861837956569905,22,-0.9627450900822387,46,-0.5510983922063656,55,-0.45017928073707586
Kidney,Upregulated,miR-615-3p,mmu-miR-615-3p,7.638,1.54290102346476e-08,452.64154314458773,34,-0.004948605858071659,2,-1.075006526714039,2709,1.8894605251330114,12,-0.43632750698974015,27,-0.1021412006878732,18,-0.2710366848832867
Kidney,Upregulated,miR-10b-5p,mmu-miR-10b-5p,5.977,1.15170118671149e-07,292.2333661077071,1573,-0.26226900786381363,3796,0.22270590461655126,76486,1.8765219894633502,405,-1.0085311301761672,1195,-0.4135222854809857,1192,-0.41490547055893273
Kidney,Upregulated,miR-615-5p,mmu-miR-615-5p,6.198,1.1949485119278e-05,179.8152625098179,1,-0.17902871850985816,0,-0.7161148740394327,31,1.9693159036084404,0,-0.7161148740394327,1,-0.17902871850985816,1,-0.17902871850985816
Kidney,Upregulated,miR-196a-2-3p,mmu-miR-196a-2-3p,8.219,0.00172765621920589,160.06374203678567,0,-0.4082482904638631,0,-0.4082482904638631,54,2.041241452319315,0,-0.4082482904638631,0,-0.4082482904638631,0,-0.4082482904638631
Kidney,Upregulated,miR-196b-3p,mmu-miR-196b-3p,8.303,0.000925683977427649,129.40127157408241,111,1.0369709571107537,0,-0.7756611385948516,325,1.4474009441011522,0,-0.7756611385948516,0,-0.7756611385948516,4,-0.15738848542735046
Kidney,Upregulated,miR-196a-1-3p,mmu-miR-196a-1-3p,7.54,0.009281985377449,116.23284089306226,0,-0.5599894474585573,0,-0.5599894474585573,310,1.9064081113189206,0,-0.5599894474585573,0,-0.5599894474585573,7,0.3335496785153084
Kidney,Upregulated,miR-187-5p,mmu-miR-187-5p,2.642,9.85188353658517e-06,50.13527159169801,26,-1.4694944791588458,97,-0.1412061276065,572,1.678352420100722,106,-0.05067595610754664,113,0.01461852934023576,108,-0.03159438656806744
Kidney,Upregulated,miR-670-5p,mmu-miR-670-5p,4.052,0.00309320395415683,48.50565703461603,0,-0.9071006574010484,0,-0.9071006574010484,28,1.7749968774796179,3,0.19710190640920117,1,-0.3549993754959236,3,0.19710190640920117
Kidney,Upregulated,miR-346-5p,mmu-miR-346-5p,4.128,0.0281162827996955,35.5336665001491,0,-1.1106220449600448,1,-0.7041762724234036,107,1.6348734242548888,18,0.6159301349211865,2,-0.46642073691282776,6,0.030415495120200312
Kidney,Downregulated,miR-511-3p,mmu-miR-511-3p,-2.638,0.0392218415233606,0.7609714670577922,2,-1.9204120439746701,1154,0.33262309804448764,347,-0.12139172010586671,4497,0.8471450735064923,835,0.21029619635457186,2683,0.6517393961749864
Kidney,Downregulated,miR-294-3p,mmu-miR-294-3p,-4.735,0.0371205599537631,0.38081952507287653,1,-1.06620006942504,4,-0.4869932010750626,2,-0.8098969471483766,143,1.6371715828312294,22,0.4776594596205242,15,0.24825917519672575
